"","County/SubCounty","Sex_Total","Sex_Male","Sex_Female","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"357","SUBA NORTH",124938,60530,64406,29766,29662,104,406,307
"358","SUBA SOUTH",122383,59383,62998,27769,27635,134,634,193
"359","MIGORI",1116436,536187,580214,240168,238133,2035,2613,427
"360","AWENDO",117290,56348,60939,27033,27014,19,255,459
"361","KURIA EAST",96872,46969,49894,17363,17267,96,188,516
"362","KURIA WEST",208513,101090,107417,39781,39723,58,396,527
"363","NYATIKE",176162,83989,92164,40257,39358,899,677,260
"364","RONGO",124587,59257,65329,29087,29007,80,213,584
"365","SUNA EAST",122674,58977,63694,27302,27214,88,205,598
"366","SUNA WEST",128890,61430,67459,29251,28839,412,288,448
"367","URIRI",141448,68127,73318,30094,29711,383,392,361
"368","KISII",1266860,605784,661038,308054,307254,800,1323,957
"369","ETAGO",83787,40137,43647,18610,18610,NA,108,773
"370","GUCHA",83740,39631,44108,19657,19621,36,82,1020
"371","GUCHA SOUTH",83623,40022,43598,19732,19627,105,95,878
"372","KENYENYA",131740,62859,68878,30989,30985,4,142,930
"373","KISII CENTRAL",166906,81330,85573,44311,44037,274,136,1229
"374","KISII SOUTH",135134,64514,70615,31696,31574,122,128,1054
"375","KITUTU CENTRAL",154175,74608,79561,41271,41233,38,100,1537
"376","MARANI",107464,50598,56864,26186,26133,53,128,837
"377","MASABA SOUTH",122396,58143,64248,29232,29206,26,161,759
"378","NYAMACHE",130898,62113,68782,30712,30583,129,163,805
"379","SAMETA",66997,31829,35164,15658,15645,13,79,847
"380","NYAMIRA",605576,290907,314656,150669,150499,170,897,675
"381","BORABU",73167,36736,36431,19468,19404,64,247,296
"382","MANGA",94209,44868,49339,23869,23836,33,111,845
"383","MASABA NORTH",111860,52884,58974,27913,27904,9,142,789
"384","NYAMIRA NORTH",167267,80314,86947,40446,40396,50,216,775
"385","NYAMIRA SOUTH",159073,76105,82965,38973,38959,14,182,876
"386","NAIROBI CITY",4397073,2192452,2204376,1506888,1494676,12212,704,6247
"387","DAGORETTI",434208,217651,216526,155089,154949,140,29,14908
"388","EMBAKASI",988808,492476,496270,347955,346462,1493,86,11460
"389","KAMUKUNJI",268276,136670,131599,84365,83680,685,11,25455
"390","KASARANI",780656,381234,399385,271290,268611,2679,86,9063
"391","KIBRA",185777,94199,91569,61690,61651,39,12,15311
"392","LANG'ATA",197489,96698,100774,62239,60187,2052,217,911
"393","MAKADARA",189536,96369,93157,70361,70080,281,12,16150
"394","MATHARE",206564,106522,100028,74967,74967,NA,3,68940
"395","NJIRU",626482,307642,318809,204563,204492,71,130,4821
"396","STAREHE",210423,109173,101238,69389,66108,3281,21,10205
"397","WESTLANDS",308854,153818,155021,104980,103489,1491,98,3167
